0,0,-1,1,0,-1,0,0,0,1,1,1,-1,-1,1,-1,1,-1,0,1,1,-1,-1,1,0,0,0,0,1,-1,0,1,1,1,0,0,-1,-1,0,1,1,-1,0,0,0,0,0,0,1,0,1,-1,0,1,1,0,-1,1,-1,0,0,0,1,1,0,-1,0,-1,1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
0,-1,0,0,-2,0,0,0,0,0,1,x,x,x,-1,1,-1,1,-1,1,x,x,-1,0,1,0,0,1,-1,1,-1,0,1,1,1,-1,-1,0,0,1,x,1,-1,0,0,0,0,0,0,1,-1,1,-1,0,1,-2,1,-1,1,-1,0,0,0,1,-2,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,1,0,0,0
-1,0,-2,0,0,0,0,0,0,0,0,1,0,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,1,1,-1,1,-1,1,-1,0,1,x,x,-1,0,0,0,1,-1,1,-1,0,0,0,0,1,-1,1,-1,1,-2,1,1,-1,1,-1,1,-1,1,-2,0,1,-1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,0,0
-2,-2,0,0,0,0,0,0,0,0,0,0,-2,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,x,1,-1,1,-1,1,-1,0,1,-1,0,0,0,1,-1,1,-1,1,-1,0,0,1,-1,1,x,x,x,1,x,x,1,-1,1,x,x,x,1,-2,-1,1,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,-2,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,1,-1,1,-1,1,-2,-1,1,-1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,0,1,1,-1,1,-1,1,1,-2,-1,x,1,-1,x,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,-2,0,0,1,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,x,x,x,-1,1,-2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,1,x,1,-1,1,x,x,x,-2,-2,-1,1,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-2,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,0,-6,-2,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,0,1,-1,1,-1,1,-2,-2,-1,-1,1,-1,1,-1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-2,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,1,-1,1,-6,-2,0,-6,0,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,x,x,x,x,x,x,1,-1,1,-1,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,-2,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,-1,1,x,x,x,1,-6,-2,0,-6,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,1,-1,1,0,0,0,0,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,2,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-3,-6,0,1,-6,4,x,1,-6,-2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,x,1,x,x,x,1,x,-6,x,x,-6,4,-2,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,-6,1,0,-6,0,-2,0,-6,0,-2,0,0,0,0,4,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,x,-1,1,x,1,2,0,-6,1,-2,-6,0,0,-2,-6,0,0,0,0,4,1,-1,1,-1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,x,-1,-6,0,2,x,1,-2,x,-6,1,0,3,0,0,0,-6,0,0,4,1,-1,1,-1,x,-3,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0,0
0,0,0,0,1,-1,1,-1,1,-1,1,x,1,-1,1,-1,0,0,-6,1,2,2,1,1,0,-6,1,0,0,0,3,0,-6,4,1,-1,1,x,x,2,1,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0,0
0,0,0,1,-1,1,-1,1,-1,1,-1,1,x,1,-1,1,-1,0,0,-6,1,x,2,x,1,0,-6,1,0,0,0,3,0,x,x,1,x,3,1,0,0,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0,0
0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,1,-1,1,-1,0,0,-6,1,0,2,2,1,0,-6,1,0,0,0,0,0,3,0,1,0,0,1,3,-1,x,x,x,-1,1,-1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,0
0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,1,-1,1,-1,0,0,-6,1,0,2,2,-2,0,-6,1,0,0,0,0,0,0,0,3,0,0,x,0,1,3,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,1,-1,1,-1,-2,0,x,1,-2,2,2,2,-2,-6,1,0,0,0,0,0,0,0,0,0,3,0,3,x,x,x,x,-1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,x,1,-1,-3,-2,-6,x,0,-2,2,2,x,x,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,-3,-3,x,x,x,0,-2,-2,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,3,-1,x,-1,x,-1,1,-1,1,x,x,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,x,-1,-3,-3,0,0,-2,-2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,3,0,3,-1,3,-1,3,-1,1,-1,1,-1,1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-3,-3,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,0,0,0,0,3,0,3,-1,3,-1,3,-1,x,-1,x,-1,1,x,x,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,x,x,-1,0,-3,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,0,3,2,3,x,3,-1,3,-1,3,-1,3,-1,0,0,1,1,-1,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,4,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,x,0,2,x,3,x,3,-1,3,-1,3,-1,3,x,x,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-2,-2,0,0,4,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,2,2,8,0,3,2,2,-1,x,-1,3,-1,3,-1,3,3,x,1,-1,1,x,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
1,-1,1,-1,1,-1,1,-1,1,-1,x,x,x,x,-2,0,0,-2,0,0,0,4,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,x,8,-1,x,2,x,x,0,-1,3,x,3,2,x,x,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,-2,0,0,-2,0,0,0,0,0,-2,0,0,0,4,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,0,8,8,0,2,-4,0,8,-1,3,3,0,-3,0,1,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
1,-1,1,-1,1,-1,1,-1,1,-1,x,2,0,-2,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,0,4,0,-2,0,0,0,0,0,0,0,0,0,0,0,8,0,2,-4,0,8,8,8,-2,-1,0,x,8,-1,3,-2,0,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,1,-1,1,-1,1,-1,1,-1,x,-2,-2,0,2,0,-2,0,-2,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,0,4,0,-2,0,0,0,0,0,8,-4,0,0,0,0,-2,8,-2,-1,x,8,0,-3,-1,x,x,8,-2,x,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
1,-1,1,-1,1,-1,1,-1,x,2,0,2,0,-2,0,x,0,-2,0,0,0,-2,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,0,4,-4,-6,0,0,0,0,0,-2,0,-2,-1,x,0,-3,-1,0,-1,0,8,-3,-1,0,8,0,0,-1,1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,1,-1,1,-1,1,-1,1,-1,2,0,x,0,2,0,-2,0,0,0,-2,0,0,0,0,0,-2,0,0,0,0,0,-2,0,-6,-4,0,0,-6,0,0,0,4,0,6,0,-2,-1,-1,-3,-1,-3,-1,0,2,-3,-1,-3,x,0,0,0,8,-1,1,x,x,-1,1,x,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
1,-1,1,-1,1,-1,1,-1,1,-1,-1,2,0,-2,0,2,0,-2,0,0,0,0,0,-2,0,0,0,-6,0,-2,-4,-6,0,0,0,-6,0,0,0,4,0,0,6,-2,-2,x,x,-3,-1,x,-1,x,-2,-3,-1,2,-3,0,-3,0,8,-1,8,0,1,-1,0,0,1,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,1,-1,1,-1,1,-1,1,-1,x,x,-2,0,2,0,-2,0,2,0,-2,0,6,0,-2,0,-6,-4,-2,0,-6,0,0,0,-6,0,0,0,4,0,0,0,3,-2,x,-3,3,0,-1,6,-1,x,2,-3,x,0,-3,0,2,0,8,x,8,0,1,-1,1,-3,0,8,-3,-3,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
1,-1,1,-1,1,-1,1,-1,1,3,0,2,0,-2,0,2,0,-2,0,x,0,-2,-4,-6,0,-2,0,x,0,-2,0,-6,0,-2,0,0,0,0,3,0,4,x,3,2,3,0,-1,x,x,-3,0,x,-3,2,3,-1,0,0,2,2,0,0,1,x,1,x,x,-2,1,8,1,-1,1,-1,1,-1,x,-1,1,x,1,-1,1
-1,1,-1,1,-1,1,-1,1,-1,x,1,x,3,2,2,-2,0,x,-4,-2,0,-6,0,-2,0,-6,0,-2,0,-6,0,-2,0,0,0,0,0,0,0,0,0,3,4,4,4,-2,-3,3,-3,-3,2,0,2,0,-1,2,0,-3,-1,0,2,2,0,1,0,-3,0,0,8,1,x,1,-1,1,-1,1,2,8,1,1,-1,1,-1
1,-1,1,-1,1,-1,1,-1,1,-1,3,2,0,x,x,x,2,-2,0,-6,-4,-2,0,-6,0,-2,0,-6,0,-2,0,0,0,0,0,0,0,0,0,-10,4,4,-2,x,3,x,x,4,x,x,x,2,2,-1,x,-1,-3,x,0,0,-1,0,2,2,1,0,0,0,0,0,2,-1,1,-1,1,-1,x,x,x,x,1,-1,1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,-1,5,0,-2,-4,-6,2,-2,0,-6,-4,-2,0,-6,0,-2,0,-10,0,0,0,0,0,0,0,-10,0,0,-2,0,0,4,4,4,-2,3,3,4,2,4,-1,x,2,x,0,0,0,-1,0,0,0,2,2,6,0,0,0,2,-1,x,x,x,-1,1,-1,0,0,1,-1,1,-1
1,-1,1,-1,1,-1,1,-1,1,-1,1,2,-4,-2,-4,x,0,-2,x,x,2,-2,0,-6,2,-2,0,-10,0,0,0,0,0,0,0,-10,0,0,-2,0,0,4,0,0,-2,0,4,x,x,x,x,x,x,4,2,4,-5,0,-1,0,0,0,0,0,0,2,2,0,0,x,0,4,-1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,1,-1,1,-1,1,x,x,x,x,x,x,x,x,0,3,0,x,0,-2,0,-6,2,-2,0,-10,2,0,0,0,0,0,0,-10,0,0,-2,0,0,0,0,0,-2,0,0,4,0,0,0,2,4,-5,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,2,2,0,4,-1,-1,x,-1,x,-1,1,-1,1,-1,1,-1
1,-1,1,-1,1,-1,1,0,0,0,0,0,0,0,0,x,0,-2,3,0,0,-2,0,-10,2,0,0,0,-7,0,0,-10,0,0,-2,0,0,0,0,0,-2,0,0,0,2,0,-5,4,0,4,0,2,0,0,4,0,0,0,2,2,0,2,0,4,0,0,0,2,0,2,x,-1,2,-1,4,-1,1,-1,1,-1,1,-1,1
-1,1,-1,1,-1,1,-1,1,0,0,0,0,0,-10,0,-2,3,0,0,-2,0,x,0,0,0,0,-4,0,0,-10,0,0,-2,0,0,0,0,0,-2,2,0,-5,0,0,0,0,2,0,0,4,0,4,0,3,0,0,4,0,4,0,2,2,0,2,0,4,0,4,2,2,-1,2,-1,x,x,x,x,1,x,x,-1,1,-1
1,-1,1,x,1,x,1,-1,1,0,0,0,0,-2,2,0,-2,-2,-2,x,0,0,-4,0,0,0,0,-10,0,0,-2,0,0,0,2,0,6,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,4,0,4,3,3,4,0,4,0,2,2,0,2,0,x,0,x,2,x,x,2,-1,0,0,0,1,-1,1,-1,1
-1,1,-1,1,0,1,-1,1,-1,1,0,-2,2,0,-2,-2,x,-10,x,0,-4,0,0,0,0,-10,0,0,-2,0,0,0,0,0,0,0,2,0,0,0,2,0,6,2,0,0,0,0,0,0,2,0,0,0,0,4,4,4,0,2,x,3,4,0,2,2,0,2,0,0,0,0,2,-1,0,2,-1,1,-1,1,-1,1,-1
1,-1,1,-1,1,-1,1,x,1,x,-2,0,-2,-2,2,-10,2,0,-10,0,0,0,0,-10,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,6,0,0,0,2,0,0,0,0,4,0,4,4,x,2,2,3,0,2,2,0,2,0,0,-1,0,2,-1,x,x,x,-1,1,-1,1
-1,1,-1,1,-1,x,x,1,x,1,-2,-2,0,-10,-10,0,2,-2,2,-10,0,-10,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,5,0,0,0,0,0,0,4,4,4,x,2,3,3,2,2,0,-3,0,0,-1,0,2,-1,-1,1,-1,1,-1
1,-1,1,x,x,-1,0,1,2,x,1,-10,-2,-10,-10,-2,0,0,2,-10,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,5,0,0,0,4,4,4,x,x,x,3,-2,2,2,3,0,2,-1,-1,x,-1,1,-1,1
x,x,x,-3,-3,-2,0,0,1,2,x,1,-10,-2,-2,0,0,0,2,0,x,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,0,2,5,5,0,0,4,4,4,0,3,3,2,2,x,x,2,-1,1,-1,1,-1
-3,x,x,-2,-2,0,0,0,0,1,2,x,x,0,-2,-2,0,0,0,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,0,2,0,2,x,5,5,4,4,4,x,3,3,2,-1,x,x,x,-1,1
0,-2,-2,0,0,0,0,0,0,0,1,1,-4,-2,0,0,0,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,0,2,0,2,0,2,2,5,2,x,4,x,3,4,-1,-1,0,0
-2,0,0,0,0,0,0,1,-4,0,0,x,1,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,0,2,0,2,0,2,2,2,x,2,x,-1,x,3,0,4
0,0,0,1,-4,0,0,0,1,0,0,0,-2,1,2,-2,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,0,2,0,2,0,2,2,2,-1,2,0,0,0,0
-4,0,0,0,1,0,0,0,0,1,-2,1,2,-2,x,1,x,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,0,2,0,2,0,x,2,2,-1,2,0,0
0,0,0,0,0,1,0,1,-2,1,1,-2,1,1,-2,0,-3,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,0,2,0,2,0,-1,2,2,-1,2
0,0,0,0,0,1,2,0,1,-2,1,1,-2,x,1,2,2,-3,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,2,2,-1,2,0,-1,2,2
0,0,0,0,0,0,1,2,2,1,x,1,x,-2,x,x,x,2,x,-3,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,2,2,-1,2,2,-1,2,0,0
0,0,0,0,0,0,0,1,x,2,2,-2,1,0,-4,0,-3,0,-2,2,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,2,2,-1,2,2,-1,2,2,-1,2
0,0,0,0,0,0,0,2,2,-2,x,x,x,-2,0,2,x,0,2,0,-2,2,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,-1,2,2,-1,2,2,-1,2,2
0,0,0,0,0,2,0,-2,0,2,2,-2,0,0,0,0,2,2,-2,0,2,0,-2,2,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,-2,2,0,-1,2,2,-1,2,2,-1
0,0,0,2,0,-2,0,2,0,-2,0,2,2,-2,2,0,-2,0,2,2,-2,0,2,0,-2,2,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,-2,2,2,0,-2,2,0,-1,2,2,-1,2
0,2,0,-2,0,2,0,-2,0,2,0,-2,2,2,x,-2,2,0,-2,0,2,2,-2,0,2,0,-2,2,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,2,2,0,-2,2,2,0,-2,2,0,-1,2,2
0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,2,2,-2,-2,2,0,-2,0,2,2,-2,0,2,0,-2,2,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,0,2,0,-2,2,2,0,-2,2,2,0,-2,2,0,0
