0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,0,0,0,0,0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,0,0,0,0,0,0,0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,0,0,0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,0,0,0,0,0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,0,0,0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
0,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,x,x,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,x,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,0,2,-1,-1,2,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
