0,0,1,-1,0,-1,1,1,1,-1,0,1,0,0,1,1,1,-1,0,0,0,-1,-1,0,-1,0,0,0,-1,0,-1,1,1,-1,1,-1,0,-1,0,-1,1,0,0,0,0,-1,1,-1,0,0,-1,1,1,-1,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,0,1,0,-1
0,1,-1,1,-1,0,0,1,x,1,-1,0,1,0,0,1,x,1,-1,0,-1,-1,0,-1,0,0,0,-1,0,-1,0,1,x,1,-1,1,-1,0,-1,0,0,1,0,0,-1,1,-1,1,-1,-1,0,1,x,x,-1,0,-1,0,-1,0,-1,0,0,0,0,1,-1,1,-1,-1,0,0,-1,0,0,0,0,-1,0,0,0,-2,0
1,-1,1,-1,1,-1,0,0,1,-1,1,-1,0,1,0,0,1,-1,1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,1,-1,1,-1,1,-1,0,0,0,0,1,-1,1,-1,1,-1,x,-1,0,0,1,-1,0,-1,0,-1,0,-1,0,0,0,0,1,-1,1,-1,x,-1,0,-1,0,0,0,0,-1,0,0,-2,0,0,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,1,1,-1,1,-1,x,-1,-1,0,0,0,-1,0,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,1,-1,0,-1,0,-1,0,0,0,0,1,-1,1,-1,1,-1,0,-1,0,0,0,0,-1,0,-2,0,0,0,0,0
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,x,1,-1,1,-1,-1,0,0,0,-1,0,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,-1,0,0,0,0,1,-1,1,-1,1,-1,1,-1,0,0,0,0,-1,-2,-2,0,0,0,0,0,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,-1,0,0,-1,0,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,5,-2,-2,0,0,0,0,0,0,0
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,-1,0,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-2,-2,0,0,0,0,5,0,-2,0,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,0,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,x,x,x,-2,0,0,0,0,-2,0,0,0,0
1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,-1,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,-2,0,0,0,0,-2,0,0,0,0,0,0
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,x,2,0,0,0,-2,0,0,0,0,0,0,0,0
